"country","year","count","population","ratio"
"Australia",1997,1436,18517000,0.0776
"Brazil",1997,1078,167893835,0.0064
"China - mainland",1997,3206,1208332185,0.0027
"China - Taiwan",1997,1420,21742815,0.0653
"France",1997,1894,59964845,0.0316
"Germany",1997,2088,82034771,0.0255
"Great Britain and Northern Ireland",1997,6927,58316954,0.1188
"India",1997,31684,997817250,0.0318
"Japan",1997,2929,126057000,0.0232
"Korea, South",1997,900,45953580,0.0196
"Mexico",1997,2785,97925825,0.0284
"Pakistan",1997,1144,128845692,0.0089
"Philippines",1997,2653,73042605,0.0363
"Australia",1998,1665,18711000,0.089
"Brazil",1998,1323,170516482,0.0078
"China - mainland",1998,3880,1220006409,0.0032
"China - Taiwan",1998,1693,21928591,0.0772
"France",1998,2110,60186291,0.0351
"Germany",1998,2242,82047195,0.0273
"Great Britain and Northern Ireland",1998,6342,58487141,0.1084
"India",1998,40246,1016402907,0.0396
"Japan",1998,2878,126400000,0.0228
"Korea, South",1998,940,46286503,0.0203
"Mexico",1998,2320,99632299,0.0233
"Pakistan",1998,1509,132013680,0.0114
"Philippines",1998,2759,74656228,0.037
"Australia",1999,1651,18926000,0.0872
"Brazil",1999,1581,173153066,0.0091
"China - mainland",1999,5775,1230642613,0.0047
"China - Taiwan",1999,2209,22092387,0.1
"France",1999,2429,60496715,0.0402
"Germany",1999,2444,82100243,0.0298
"Great Britain and Northern Ireland",1999,6664,58682466,0.1136
"India",1999,55062,1034976626,0.0532
"Japan",1999,3338,126631000,0.0264
"Korea, South",1999,1911,46616677,0.041
"Mexico",1999,2418,101266570,0.0239
"Pakistan",1999,1933,135158132,0.0143
"Philippines",1999,3064,76285225,0.0402
"Australia",2000,1794,19153000,0.0937
"Brazil",2000,1913,175786441,0.0109
"China - mainland",2000,7489,1240368328,0.006
"China - Taiwan",2000,2712,22276672,0.1217
"France",2000,2803,60912498,0.046
"Germany",2000,2699,82211508,0.0328
"Great Britain and Northern Ireland",2000,7304,58892514,0.124
"India",2000,61530,1053481072,0.0584
"Japan",2000,3781,126843000,0.0298
"Korea, South",2000,2296,47008111,0.0488
"Mexico",2000,2404,102808590,0.0234
"Pakistan",2000,2295,138250487,0.0166
"Philippines",2000,3102,77932247,0.0398
"Australia",2001,2176,19413000,0.1121
"Brazil",2001,2367,178419396,0.0133
"China - mainland",2001,9076,1249444432,0.0073
"China - Taiwan",2001,2906,22405568,0.1297
"France",2001,3450,61357431,0.0562
"Germany",2001,3190,82349925,0.0387
"Great Britain and Northern Ireland",2001,8462,59119673,0.1431
"India",2001,74078,1071888190,0.0691
"Japan",2001,4096,127149000,0.0322
"Korea, South",2001,2899,47357362,0.0612
"Mexico",2001,2915,104239563,0.028
"Pakistan",2001,2903,141282077,0.0205
"Philippines",2001,4470,79604541,0.0562
"Australia",2002,1814,19651400,0.0923
"Brazil",2002,2155,181045592,0.0119
"China - mainland",2002,7576,1257879224,0.006
"China - Taiwan",2002,2642,22520776,0.1173
"France",2002,2913,61805267,0.0471
"Germany",2002,2859,82488495,0.0347
"Great Britain and Northern Ireland",2002,6842,59370479,0.1152
"India",2002,44012,1090189358,0.0404
"Japan",2002,3772,127445000,0.0296
"Korea, South",2002,2989,47622179,0.0628
"Mexico",2002,2990,105578297,0.0283
"Pakistan",2002,1227,144271586,0.0085
"Philippines",2002,3387,81294378,0.0417
"Australia",2003,1627,19895400,0.0818
"Brazil",2003,2011,183627339,0.011
"China - mainland",2003,5608,1265795450,0.0044
"China - Taiwan",2003,2039,22604550,0.0902
"France",2003,2573,62244884,0.0413
"Germany",2003,2473,82534176,0.03
"Great Britain and Northern Ireland",2003,6095,59647577,0.1022
"India",2003,42245,1108369577,0.0381
