Fiscal Year 2002,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,51,165,2,949,709,"1,129",0,0,9,1,0,0,48,0,0,0,0,0,0,57,2,0,49,79,1,115,5,0,43,0,0,0,0,0,0,25,19,90,20,32,0,4,0,5,10,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,7,6,"3,694",0,"3,694",,,
Angola,63,114,7,421,847,323,0,0,49,15,0,6,17,0,0,0,0,0,0,307,29,0,33,84,0,4,1,0,4,0,0,0,0,0,0,2,21,60,26,0,0,0,0,28,66,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,545",0,"2,545",,,
Benin,5,98,6,33,420,64,0,0,0,0,0,2,0,0,0,0,0,0,0,61,2,0,17,5,0,43,10,0,8,0,0,0,0,0,0,2,9,38,11,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,855,0,855,,,
Botswana,18,174,1,58,562,103,0,0,5,5,0,2,0,0,0,0,0,0,0,109,14,0,13,6,0,1,0,0,8,0,0,0,0,0,0,2,8,72,11,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,191",0,"1,191",,,
Burkina Faso,23,13,1,66,824,150,0,0,4,0,0,12,3,0,0,0,0,0,0,135,8,0,15,77,0,91,1,0,13,0,0,0,1,0,0,8,0,43,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,507",0,"1,507",,,
Burundi,31,22,1,1,436,15,0,0,40,0,0,9,0,0,0,0,0,0,0,96,2,0,17,71,0,79,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,832,,,
Cameroon,93,192,25,106,"5,184",165,0,0,16,1,0,3,0,0,1,2,0,0,0,728,29,0,60,157,0,136,12,0,79,0,0,0,4,0,0,22,27,146,29,27,3,7,4,15,18,7,0,0,0,0,0,0,0,0,0,0,0,6,1,2,5,0,38,0,0,0,0,45,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,36,0,"7,476",0,"7,476",,,
Cape Verde,11,34,0,2,"2,842",56,0,0,2,27,0,2,0,0,0,0,0,0,0,19,1,0,7,15,0,4,1,0,2,0,0,0,0,0,0,0,7,30,0,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,129,38,"3,295",0,"3,295",,,
Central African Republic,19,28,0,1,234,3,0,0,3,0,0,1,1,0,0,0,0,0,0,52,1,0,4,52,0,20,1,0,6,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,434,,,
Chad,28,56,0,33,237,76,0,0,7,0,0,0,2,0,0,0,0,0,0,40,4,0,9,67,0,37,0,0,1,0,0,0,0,0,0,3,0,19,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,628,0,628,,,
Comoros,1,5,0,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,3,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",29,101,2,126,"1,712",192,0,0,21,6,0,5,0,0,0,0,0,0,0,116,12,0,11,85,0,130,0,0,20,0,0,0,0,0,2,11,5,57,9,4,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,32,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,0,"2,783",0,"2,783",,,
"Congo, Rep. of the (Congo Brazzaville)",67,69,5,55,300,60,0,0,3,0,0,0,1,0,0,0,0,0,0,29,3,0,26,65,0,32,0,0,3,0,0,0,0,0,2,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,736,,,
Cote d'Ivoire ,47,93,6,69,"2,590",182,0,0,4,2,0,4,2,0,0,0,0,0,0,251,6,0,37,81,0,80,8,0,25,0,0,0,0,0,0,13,6,68,13,17,3,2,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,22,0,"3,661",0,"3,661",,,
Djibouti,20,14,0,1,46,44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,0,4,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,184,,,
Egypt,264,"2,722",22,82,"13,203",90,0,0,17,504,0,30,32,0,0,16,0,0,0,271,122,0,56,78,0,144,6,0,235,0,1,0,1,0,1,267,38,"1,441",308,32,2,14,0,53,82,6,0,0,0,0,0,0,0,0,0,0,0,14,3,9,0,0,19,0,1,0,0,48,65,0,0,0,0,14,0,0,0,0,0,0,0,0,0,35,49,0,"20,397",0,"20,397",,,
Equatorial Guinea,32,115,15,18,98,18,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,12,9,0,25,1,0,1,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,428,,,
Eritrea,7,35,8,98,"1,233",24,0,0,5,0,0,0,0,0,0,0,0,0,0,87,10,0,5,12,0,25,1,0,3,0,0,0,0,0,0,1,0,26,5,8,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,"1,693",0,"1,693",,,
Ethiopia,26,60,10,113,"3,664",438,0,0,60,3,0,27,255,0,0,0,0,0,0,217,16,0,23,77,0,207,17,0,26,0,0,0,0,0,0,20,0,84,16,56,3,69,5,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,24,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,163,54,"5,859",0,"5,859",,,
Gabon,48,124,15,8,593,124,0,0,3,0,0,4,0,0,0,0,0,0,0,92,0,0,15,53,0,23,2,0,9,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,128",0,"1,128",,,
"Gambia, The",38,35,24,41,"3,286",33,0,0,13,0,0,3,6,0,0,0,0,0,0,491,11,0,7,20,0,35,3,0,7,0,0,0,1,0,0,9,0,10,9,4,1,5,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,"4,119",0,"4,119",,,
Ghana,60,181,5,166,"14,421",888,0,0,23,138,0,4,3,0,0,0,0,0,0,950,95,0,23,81,0,116,13,0,164,0,0,0,0,0,0,90,13,459,66,144,12,41,20,4,16,4,2,0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,37,1,0,0,0,86,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,147,448,108,"19,061",0,"19,061",,,
Guinea,27,109,2,22,"3,365",371,0,0,1,2,0,2,0,0,0,0,0,0,0,163,2,0,44,100,0,19,9,0,10,0,0,0,0,0,0,10,1,48,2,6,2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,"4,362",0,"4,362",,,
Guinea-Bissau,8,10,0,3,75,4,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,37,0,6,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,157,,,
Kenya,77,152,41,61,"9,385",123,0,0,22,5,0,2,5,0,0,1,0,0,0,"2,450",250,0,45,65,0,298,17,0,256,0,0,0,4,0,0,133,4,368,85,41,7,9,3,24,37,20,0,0,0,0,0,0,0,0,0,0,0,4,0,5,35,0,41,0,17,0,0,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,"14,204",0,"14,204",,,
