Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,42,188,3,"1,178",857,"1,575",0,12,0,0,1,70,0,0,0,0,0,0,67,1,0,61,155,0,97,1,0,21,0,0,0,0,0,5,13,24,155,13,33,2,10,0,7,6,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,"4,614",0,"4,614"
Angola,94,104,11,309,"1,664",331,0,17,114,0,3,7,0,0,0,0,0,0,344,10,0,21,121,0,6,0,0,10,0,0,0,0,0,0,5,5,47,11,3,0,1,0,34,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,342",0,"3,342"
Benin,24,133,0,30,851,80,0,7,0,0,15,2,0,0,0,0,0,0,142,5,0,18,49,1,41,3,0,6,0,0,0,0,0,0,1,15,35,5,6,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,497",0,"1,497"
Botswana,7,72,5,3,715,36,0,10,3,0,0,0,0,0,0,0,0,0,61,3,0,3,26,0,7,2,0,16,0,0,0,2,0,0,3,0,67,15,3,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,089",0,"1,089"
Burkina Faso,47,42,1,5,"1,398",22,0,9,0,0,91,2,0,0,0,0,0,0,339,23,0,20,75,0,89,2,0,16,0,0,0,0,0,0,8,3,33,0,4,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,243",0,"2,243"
Burundi,35,60,2,1,552,18,0,25,0,1,20,0,0,0,0,0,0,0,139,5,0,17,49,0,101,2,0,1,0,0,0,0,0,0,0,8,12,1,2,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,074",0,"1,074"
Cameroon,50,206,7,67,"5,327",194,0,28,3,0,20,8,0,0,0,0,0,0,625,21,0,16,147,0,145,8,0,77,0,0,0,2,0,2,28,3,188,28,43,3,19,5,13,10,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,1,1,0,0,20,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"7,334",0,"7,334"
Cape Verde,11,24,0,4,"1,836",50,0,0,23,0,0,0,0,0,0,0,0,0,32,2,0,3,13,0,12,2,0,4,0,0,0,0,0,0,1,0,4,0,65,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,115",0,"2,115"
Central African Republic,31,28,0,0,90,4,0,0,1,0,1,0,0,0,0,0,0,0,18,0,0,10,42,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,239
Chad,28,103,0,7,322,48,0,1,0,0,4,0,0,0,0,0,0,0,118,0,0,15,11,0,16,0,0,10,0,0,0,0,0,0,7,2,20,4,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,730,0,730
Comoros,0,14,0,1,38,1,0,0,6,0,2,2,0,0,0,0,0,0,1,0,0,9,20,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111
"Congo, Dem. Rep. of the (Congo Kinshasa)",23,71,3,45,"1,604",62,0,17,1,1,13,6,0,0,0,0,0,0,142,3,0,16,241,0,106,1,0,24,0,0,0,0,0,0,7,2,45,0,11,2,6,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,513",0,"2,513"
"Congo, Rep. of the (Congo Brazzaville)",74,48,0,13,483,53,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,59,145,0,30,6,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,959
Cote d'Ivoire,41,76,8,77,"1,012",724,0,13,2,0,5,0,0,0,0,0,0,0,275,0,0,33,104,0,117,6,0,38,0,0,0,0,0,0,7,3,58,5,15,8,7,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,8,0,0,0,0,12,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,678",0,"2,678"
Djibouti,18,42,0,27,86,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,231
