Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,26,220,1,"1,228",915,"1,747",0,0,22,2,0,1,99,0,0,0,0,0,0,81,1,0,53,73,0,78,2,0,31,0,0,0,0,0,4,33,8,142,5,35,0,10,3,10,17,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,855",0,"4,855"
Angola,82,155,3,665,"1,586",283,0,0,12,161,0,10,3,0,0,0,0,0,0,289,21,0,49,156,0,2,1,0,10,0,0,0,0,0,23,3,20,26,9,3,3,0,0,63,98,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,754",0,"3,754"
Benin,25,145,0,17,920,22,0,0,5,1,0,33,1,0,0,0,0,0,0,226,2,0,25,22,0,35,4,0,8,0,0,0,0,0,0,3,8,46,3,6,0,2,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,582",0,"1,582"
Botswana,13,127,3,4,796,94,0,0,6,10,0,1,1,0,0,0,0,1,0,88,11,0,5,43,0,16,4,0,13,0,0,0,0,0,0,3,0,53,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,322",0,"1,322"
Burkina Faso,30,59,1,5,"1,668",27,0,0,1,0,0,52,0,0,0,0,0,0,0,363,13,0,19,63,2,104,1,0,16,0,0,0,0,0,1,10,1,43,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,499",0,"2,499"
Burundi,32,32,1,1,639,17,0,0,31,0,1,8,0,0,0,0,0,0,0,78,0,0,20,49,0,75,1,0,2,0,0,0,1,0,0,2,5,12,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,019",0,"1,019"
Cameroon,59,164,12,41,"5,856",153,0,0,14,2,1,30,11,0,0,0,0,0,0,634,36,0,19,105,1,137,4,0,71,0,0,0,2,0,0,25,10,155,21,52,4,9,2,14,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,10,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,698",0,"7,698"
Cape Verde,13,23,0,6,"1,885",35,0,0,5,31,0,0,0,0,0,0,0,0,0,36,2,0,8,21,0,13,0,0,2,0,0,0,0,0,0,2,3,6,1,85,21,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,225",0,"2,225"
Central African Republic,26,31,0,0,114,4,0,0,1,0,1,3,0,0,0,0,0,0,0,22,0,0,14,32,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,258
Chad,27,133,13,11,472,22,0,0,1,0,0,13,0,0,0,0,0,0,0,132,2,0,20,11,0,18,0,0,8,0,0,0,0,0,0,6,0,17,4,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,920
Comoros,4,6,1,4,37,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,2,14,0,10,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
"Congo, Dem. Rep. of the (Congo Kinshasa)",25,39,0,88,"1,790",64,0,0,38,1,2,28,0,0,0,0,0,0,0,135,7,0,14,157,0,154,0,0,26,0,0,0,0,0,0,4,0,66,16,10,2,2,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,3,0,0,0,0,27,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"2,731",0,"2,731"
