Fiscal Year 2009,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,53,159,0,"1,618","1,326","2,543",0,0,13,3,0,3,88,0,0,0,0,0,0,159,4,0,60,118,0,67,0,0,12,0,0,0,0,3,7,34,196,17,35,0,18,3,10,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,5,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"6,581",0,"6,581"
Angola,82,131,3,373,"2,501",555,0,0,15,111,0,12,8,0,0,0,0,0,0,487,44,0,41,77,0,8,0,0,5,0,0,0,0,6,1,6,39,17,1,0,0,0,40,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,632",0,"4,632"
Benin,32,58,2,7,"1,053",16,0,0,6,0,0,24,2,0,0,0,0,0,0,165,3,0,34,40,0,46,0,0,8,0,0,0,0,0,1,5,31,1,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,566",0,"1,566"
Botswana,11,81,4,9,798,7,0,0,15,13,0,0,0,0,0,0,0,0,0,91,23,0,17,22,0,18,2,0,7,0,0,0,0,0,4,2,57,12,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,226",0,"1,226"
Burkina Faso,20,30,3,6,"1,314",5,0,0,3,0,0,20,2,0,0,1,0,0,0,490,8,0,13,69,0,45,2,0,19,0,0,0,0,0,6,7,48,6,7,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,159",0,"2,159"
Burundi,21,17,1,3,532,6,0,0,18,0,0,11,0,0,0,0,0,0,0,72,0,0,16,54,0,117,1,0,6,0,0,0,0,0,0,2,8,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,892
Cameroon,49,190,2,17,"5,788",39,0,0,15,4,1,8,0,0,0,0,0,0,0,747,26,0,35,133,0,140,4,0,74,0,0,0,0,1,31,30,154,18,60,5,11,2,10,15,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,628",0,"7,628"
Cape Verde,5,54,0,3,"1,740",21,0,0,0,25,0,3,0,0,0,0,0,0,0,52,1,0,8,8,0,8,1,0,0,0,0,0,0,0,0,2,16,0,60,18,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,049",0,"2,049"
Central African Republic,32,27,0,1,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,1,0,13,32,0,13,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,272
