Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,46,182,1,992,"4,246",201,0,0,12,4,0,1,56,0,0,1,0,0,0,113,2,0,58,96,0,76,0,0,15,0,0,0,0,1,6,4,189,14,29,0,15,0,11,18,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,404",0,"6,404"
Angola,76,110,6,238,"2,473",562,0,0,17,105,0,0,8,0,0,0,0,0,0,538,22,0,13,76,0,7,0,0,12,0,0,0,0,8,5,16,39,5,4,0,0,0,58,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,506",0,"4,506"
Benin,7,90,0,43,"1,062",119,0,0,2,0,1,12,0,0,0,0,0,0,0,164,3,0,18,46,0,50,0,0,10,0,0,0,0,0,0,7,29,2,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,691",0,"1,691"
Botswana,15,119,0,4,767,6,0,0,4,10,0,0,0,0,0,0,0,0,0,70,6,0,15,26,0,29,0,0,7,0,0,0,0,0,2,1,85,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,191",0,"1,191"
Burkina Faso,1,51,1,5,"1,101",6,0,0,4,0,0,40,0,0,1,0,0,0,0,420,7,0,5,74,1,49,2,0,15,0,0,0,0,0,5,1,62,1,7,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1,890",0,"1,890"
Burundi,20,51,0,3,492,5,0,0,11,1,1,10,0,0,0,0,0,0,0,78,1,0,14,42,0,77,0,0,4,0,0,0,0,0,0,4,9,1,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,835
Cameroon,29,221,2,12,"5,814",30,0,0,15,7,0,13,0,0,0,2,0,0,0,848,36,0,10,118,0,172,0,0,79,0,0,0,0,2,25,21,156,21,63,8,12,5,20,23,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,11,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,795",0,"7,795"
Cape Verde,6,90,1,2,"1,436",22,0,0,3,82,0,4,1,0,0,0,0,0,0,29,0,0,4,16,0,12,1,0,0,0,0,0,0,0,0,0,17,0,50,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,826",0,"1,826"
Central African Republic,17,36,0,0,124,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,0,0,7,39,0,11,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,275
Chad,60,40,0,1,266,1,0,0,2,0,0,2,0,0,0,0,0,0,0,28,0,0,18,64,0,29,0,0,7,0,0,0,0,0,3,3,30,5,1,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,582
