Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,38,148,0,755,"4,253",6,0,0,17,4,0,0,54,0,0,2,0,0,0,0,102,8,0,21,88,0,40,0,0,17,0,0,0,0,4,7,26,214,22,22,1,0,0,10,12,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"5,882",0,"5,882"
Angola,104,92,1,160,"3,471",601,0,0,4,114,0,2,22,0,0,0,0,0,0,0,579,32,0,43,157,0,8,0,0,2,0,0,0,0,6,3,21,53,21,0,2,1,0,85,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,678",0,"5,678"
Benin,36,72,0,39,972,140,0,0,4,0,0,0,1,0,0,0,0,0,0,0,219,1,0,20,45,0,54,3,0,5,0,0,0,0,0,1,9,22,3,3,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,662",0,"1,662"
Botswana,9,70,1,1,899,0,0,0,25,8,0,1,0,0,0,0,0,0,1,0,73,8,0,7,34,0,12,0,0,13,0,0,0,0,0,1,0,68,11,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,273",0,"1,273"
Burkina Faso,15,44,1,4,"1,215",7,0,0,6,0,0,66,0,0,0,0,0,0,0,0,378,3,0,15,76,0,35,1,0,12,0,0,0,0,0,5,0,60,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,967",0,"1,967"
Burundi,18,31,1,0,595,6,0,0,13,0,0,7,0,0,0,0,0,0,0,0,88,2,0,24,81,0,79,3,0,2,0,0,0,0,0,0,6,17,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,999
Cameroon,39,211,5,12,"5,636",22,0,0,17,10,0,32,0,0,0,3,0,0,0,0,797,12,0,13,133,1,168,2,0,67,0,0,0,0,2,20,21,179,31,70,9,1,1,21,20,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,"7,579",0,"7,579"
Cape Verde,7,59,2,4,"1,565",3,0,0,1,22,0,2,0,0,0,0,0,0,0,0,40,0,0,1,20,0,9,1,0,1,0,0,0,0,0,0,3,27,0,45,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,835",0,"1,835"
Central African Republic,27,15,0,0,111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,25,0,0,6,43,0,12,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,248
