Fiscal Year 2013,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,55,462,1,85,"7,329",51,0,0,10,3,0,0,0,0,53,0,0,0,0,0,0,0,136,2,0,39,57,0,41,0,0,14,0,0,0,0,10,12,19,276,14,42,0,0,0,19,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,774",0,"8,774"
Angola,78,142,0,36,"6,363",841,0,0,5,124,0,1,0,0,0,0,0,5,0,0,0,0,942,27,0,46,151,0,12,3,0,8,0,0,0,0,22,13,32,34,8,2,0,0,0,70,113,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,091",0,"9,091"
Benin,20,78,0,9,"1,162",15,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,130,1,0,29,39,0,50,2,0,4,0,0,0,0,0,1,7,31,2,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,598",0,"1,598"
Botswana,15,42,0,0,772,2,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,5,30,0,24,0,0,6,0,0,0,0,0,8,0,81,11,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,129",0,"1,129"
Burkina Faso,28,109,2,1,"1,757",1,0,0,8,0,0,26,0,0,2,0,0,0,0,0,0,0,551,8,0,12,60,0,51,2,0,12,0,0,0,0,0,4,10,42,2,11,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2,709",0,"2,709"
Burundi,19,78,0,2,854,1,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,227,2,0,20,31,0,92,1,0,7,0,0,0,0,0,1,2,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,385",0,"1,385"
Cameroon,51,288,1,13,"5,692",18,0,0,25,12,0,8,0,0,2,0,0,4,0,0,0,0,548,13,0,22,172,0,174,2,0,66,0,0,0,0,2,22,5,141,19,64,9,0,0,19,29,5,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,"7,456",0,"7,456"
Cape Verde,9,44,0,4,"1,992",3,0,0,1,34,0,9,0,0,0,0,0,0,0,0,0,0,58,0,0,5,18,0,5,3,0,0,0,0,0,0,0,0,12,8,0,34,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,255",0,"2,255"
Central African Republic,28,22,0,0,118,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,5,27,0,10,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233
