Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,88,360,0,11,"12,085",19,0,0,10,3,0,1,0,0,53,0,0,0,0,0,0,223,8,0,55,95,0,47,0,10,0,0,0,0,104,102,24,225,23,62,2,0,0,15,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"13,689",0,"13,689"
Angola,78,105,1,2,"7,611","1,102",0,0,5,139,0,0,0,0,2,0,0,0,0,0,0,947,51,0,84,167,0,11,2,3,0,0,0,0,5,10,19,54,8,2,0,0,0,50,81,12,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,565",0,"10,565"
Benin,31,116,0,3,"1,519",5,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,262,2,0,15,58,0,47,1,7,0,0,0,0,0,3,4,47,7,9,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,155",0,"2,155"
Botswana,15,97,1,22,"1,053",1,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,77,5,0,20,39,0,12,3,8,0,0,0,0,0,4,0,97,2,4,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,502",0,"1,502"
Burkina Faso,11,96,1,6,"4,276",29,0,0,6,0,1,11,0,0,4,0,1,0,0,0,0,689,6,0,9,106,3,48,6,7,0,0,0,0,1,0,17,58,10,8,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,424",0,"5,424"
Burundi,19,51,0,0,899,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,121,4,0,9,54,0,102,0,4,0,0,0,0,0,0,5,29,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,327",0,"1,327"
Cabo Verde,7,41,0,1,"3,188",4,0,0,1,75,0,0,0,0,1,0,0,0,0,0,0,59,4,0,1,15,0,5,2,1,0,0,0,0,0,0,2,12,0,81,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,536",0,"3,536"
Cameroon,40,324,2,15,"8,186",2,0,0,13,9,0,21,0,0,2,0,4,0,0,0,0,713,23,0,16,106,0,133,3,56,0,0,0,0,1,9,3,161,22,133,13,0,0,20,27,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,9,1,1,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,"10,089",0,"10,089"
Central African Republic,19,13,0,0,150,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,30,45,0,5,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,285
